Food_group_code,Food_group,Code,Food_name,Edible_conversion_factor,Energy_in_kJ,Energy_in_kcal,Water_in_g,Protein_in_g,Fat_in_g,Carbohydrate_available_in_g,Fibre_in_g,Ash_in_g,Ca_in_mg,Fe_in_mg,Mg_in_mg,P_in_mg,K_in_mg,Na_in_mg,Zn_in_mg,Se_in_mg,Vit_A_RAE_in_mcg,Vit_A_RE_in_mcg,Retinol_in_mcg,Beta_carotene_equivalent_in_mcg,Thiamin_in_mcg,Riboflavin_in_mcg,Niacin_in_mcg,Dietary_Folate_Eq_in_mcg,Food_folate_in_mcg,Vit_B12_in_mcg,Vit_C_in_mcg,Cholesterol_in_mg,Dish_group_code,Dish_group_name,Dish_group_description,Dish_group_image,Food_description,Food_image,Food_ingredients,Food_preparation_cooking_serves_makes,Time
1,CEREALS AND CEREAL PRODUCTS,1013,"Cake, Fruit",1,1550,368,20,4,12.3,58.8,3.1,1.8,75,2,23,106,347,170,0.5,0.004,8,12,5,41,100,100,200,0,0,0.2,0,38,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1014,"Cake, Sponge, homemade",1,1940,465,15,6.5,26.7,49.1,1.1,1.6,140,1.4,12,246,105,350,0.6,0.007,323,338,309,173,40,130,500,9,9,0.9,0,161,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1015,"Cake, Sponge, without fat",1,1280,304,30,10,6.3,51.2,1.2,1.3,70,2,15,137,136,80,0.9,0.014,73,73,73,0,100,250,500,16,16,1.6,0,203,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1016,Cakes (Various Fancy Iced),1,1730,412,15.7,13,16.8,51.5,1.1,1.9,45,1.5,10,148,147,250,0.3,0.003,0,0,0,0,30,500,500,7,7,0.2,0,31.1,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1017,"Cornflour, from maize starch",1,1510,355,10.6,0.5,0.4,87.1,0.6,0.8,12,0.7,3,24,7,10,0.2,0.002,0,0,0,0,20,0,200,1,1,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1018,"Maize, grain, white variety, whole, dry, raw",1,1450,345,13.6,7.94,4.5,63.4,9.4,1.2,24,2.6,75,367,226,12,1.88,0.008,0,0,0,0,250,100,2000,71,71,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1019,"Maize, grain, yellow variety, whole, dry, raw",1,1430,340,12.7,8.3,3.7,62.5,11.9,1,7,3.9,104,216,346,7,2.3,0.0085,20,40,0,241,500,120,2200,33,33,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1020,"Maize meal, sifted, fortified, packaged, raw",1,1490,352,12.7,6.8,3,72.3,4.5,0.7,20,3.6,50,229,150,12,4.36,0,71,71,71.4,0,500,310,3690,523,18,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1021,"Maize, White, Degermed (Muthokoi)",1,1430,338,13.5,7.3,1.7,71.4,3.9,2.2,3,0.5,19,50,90,7,0.5,0,0,0,0,1.5,120,10,500,10,10,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1022,"Maize, whole, flour, raw",1,1450,345,13.6,7.9,4.5,63.4,9.4,1.2,9,2.6,110,323,258,12,1.88,0.009,0,0,0,0,250,100,2000,71,71,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1023,"Green Maize, white, whole, grain, fresh, raw",0.68,655,157,55.1,4.1,2.5,21.4,16.1,0.8,18,1.2,39,188,188,8,1.95,0.005,8,16,0,98,180,100,1550,78,78,0,900,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1024,"Millet, bulrush, flour",1,1490,354,11,10.5,5.3,61.8,8.8,2.7,32,32.4,84,263,291,4,4.14,0.034,0,0,0,0,270,170,1500,162,162,0,3000,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1025,"Millet, bulrush, grain, dry, raw",1,1490,354,11,9.8,5.3,62.5,8.8,2.7,32,6.3,84,427,291,4,4.14,0.025,2,5,0,28,270,170,1500,162,162,0,3000,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1026,"Millet, finger, flour",1,1290,306,11.3,7.4,2,53.3,22.6,3.5,344,18.5,154,183,538,2,1.7,0.0027,0,0,0,2,190,40,4600,93,93,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1027,"Millet, Finger, grain, dried, raw    ",1,1280,305,11.3,7.38,1.9,53.5,22.6,3.5,344,11.3,154,183,538,2,1.7,0.0153,0,0,0,2,190,40,4600,93,93,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1028,Millet Yeast (germinated millet seeds),1,1270,302,12.7,7.4,1.9,52.7,22.6,2.9,859,27.6,180,245,81,6,1.64,0.015,0,0,0,0,160,40,4500,93,90,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1029,"Oat bran, unprocessed, uncooked",1,1570,373,5.6,10.7,7.5,57.8,15.5,2.9,54,4.4,153,491,362,12,3.2,0.045,0,0,0,0,760,140,800,33,33,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1030,"Pasta, macaroni, plain, dry, raw-imported",1,1570,370,7.1,13.7,1.5,73.8,3.3,0.7,21,1.9,44,148,147.6,5.2,0.6,0.013,0,0,0,0,70,30,1100,17,17,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1031,"Pasta, spaghetti, dry, raw-imported",1,1500,354,10.6,12.7,1.4,71,3.2,1.1,18,1,30,172,142,5,0.6,0.012,0,0,0,0,70,60,1100,16,16,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1032,"Rice, Flour",1,1490,352,11.9,6,1.1,78.4,2.1,0.5,14,0.8,37,146,155,2,0.95,0.012,0,0,0,0,120,30,2900,7,7,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1033,"Rice, parboiled, raw ",1,1460,345,12,7,0.5,76.2,3.7,0.6,9,1.7,26,125,100,6,1.06,0.001,0,0,0,0,250,20,2500,10,10,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1034,"Rice, white, milled, polished grain, dry, raw ",1,1500,353,12.2,7.6,1,78.1,0.7,0.4,21,0.9,23,144,59,17,1.32,0.001,0,0,0,0,70,110,1100,9,9,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1035,Semolina,1,1460,345,11.8,10.9,1.1,70.5,4.9,0.8,16,1.6,35,102,196,2,1.17,0.009,0,0,0,2,120,50,1900,57,57,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1036,"Scone, plain, commercial",1,1570,375,21,7.5,15,51.4,2.1,3,56,1.5,15,107,128,800,0.7,0.002,95,102,87,90,90,100,500,19,19,0.4,0,11,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1037,"Sorghum, Grain, Red, Dried, Raw",1,1420,336,11.6,9.3,3.5,59.9,14,1.8,10,3,150,296,387,6,1.97,0.021,0,1,0,4,240,110,3300,64,64,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1038,"Sorghum, Grain, Red, Flour",1,1420,336,11.6,9.3,3.5,59.9,14,1.8,10,3,150,296,387,6,1.97,0.012,0,0,0,0,240,110,3300,0,0,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1039,"Sorghum, grain, white, dry, raw",1,1440,341,11.8,10.8,3.5,60.5,11.9,1.5,18,6.4,101,356,233,6,1.69,0.021,1,3,0,17,240,110,3300,64,64,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1040,"Sorghum, grain, white, flour",1,1440,341,11.8,10.8,3.5,60.5,11.9,1.5,18,6.4,101,356,280,4,1.69,0.026,1,1,0,8.29,240,110,3300,0,0,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1041,"Teff, raw",1,1490,351,8.8,13.3,2.4,65.1,8,2.4,180,7.6,184,429,427,12,3.63,0.004,0,1,0,5,390,270,3400,166,166,0,3000,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1042,Wheat Flour-Atta,1,1410,334,11.7,11.4,1.8,62.4,11.3,1.4,34,3.8,117,283,331,2,2.33,0.039,0,0,0,2,500,140,3500,80,0,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1043,"Wheat Flour (refined/fortified/sifted packaged), raw",1,1480,349,12.2,11.2,1.6,70.7,3.6,0.7,35,5.6,31,183,129,2,0.87,0,93,93,93,2,910,570,5900,577,42,0.7,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1044,"Wheat, whole, flour, raw ",1,1380,328,12.5,11.3,2.5,58,14,1.7,39,4,125,315,366,3,3,0.048,0,1,0,3,430,140,2700,0,0,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1045,"Wheat, whole, grain, dry, raw ",1,1380,328,12.5,11.6,2.5,57.8,14,1.7,39,4.9,122,205,358,2,3,0.047,0,1,0,5,390,130,2700,57,57,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1046,"Amaranth, whole grain, dry, stewed (without salt)",1,510,121,69.8,4.9,1.9,19.9,2.5,1.1,56,3.2,91,133,139,3,0.85,0.007,0,0,0,0,20,70,200,22,22,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1047,"Maize, grain, white variety, whole, dry, boiled, drained (without salt)",1,469,111,72.1,2.6,1.5,20.5,3,0.4,9,0.8,25,112,59,5,0.58,0.003,0,0,0,0,40,20,500,16,16,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1048,"Maize, grain, white variety, whole, dry, stewed (without salt)",1,469,111,72.1,2.6,1.5,20.5,3,0.4,9,0.8,25,118,73,6,0.61,0.003,0,0,0,0,60,30,600,18,18,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1049,"Maize, grain, yellow variety, whole, dry, boiled, drained (without salt)",1,463,110,71.8,2.7,1.2,20.2,3.8,0.4,4,1.3,34,66,90,4,0.7,0.003,6,12,0,70,80,30,500,7,7,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1050,"Maize, grain, yellow variety, whole, dry, stewed, drained (without salt)",0,334,79,79.6,1.9,0.9,14.5,2.8,0.3,3,0.9,25,50,81,4,0.53,0.002,4,9,0,53,90,30,500,6,6,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1051,"Green maize, white, whole, grain, fresh, boiled, drained (without salt)",0.69,612,146,58,3.8,2.3,20,15,0.8,17,1.1,36,167,141,6,1.73,0.005,7,14,0,82,80,70,1100,51,51,0,1000,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1052,"Green Maize, white, whole, grain, fresh, stewed (without salt)",0.62,850,203,41.7,5.3,3.2,27.8,20.9,1.1,23,1.6,50,245,244,10,2.53,0.007,10,20,0,121,170,130,1900,81,81,0,1000,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1053,"Millet, bulrush, whole, grain, dry, boiled, drained (without salt)",1,623,148,62.9,4.1,2.2,26,3.6,1.1,15,2.6,36,169,97,3,1.64,0.011,1,2,0,11,60,50,500,47,47,0,1000,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1054,"Millet, bulrush, whole, grain, dry, stewed, drained (without salt)",1,623,148,62.9,4.1,2.2,26,3.6,1.1,15,2.6,36,178,122,3,1.73,0.011,1,2,0,11,80,70,600,54,54,0,1000,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1055,"Sorghum, whole, grain white, dry, boiled, drained (without salt)",1,599,142,63.2,4.5,1.5,25.2,4.9,0.6,9,2.7,43,141,78,4,0.67,0.009,1,1,0,6,50,40,1000,19,19,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1056,"Sorghum, whole, grain white, dry, stewed, drained (without salt)",1,599,142,63.2,4.5,1.5,25.2,4.9,0.6,9,2.7,43,148,97,4,0.7,0.009,1,1,0,7,80,50,1300,21,21,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1057,"Sorghum, whole, grain, red, dried, boiled, drained (without salt)",1,590,140,63.1,3.9,1.5,24.9,5.8,0.8,6,1.4,63,117,129,4,0.78,0.009,0,0,0,2,50,40,1000,19,19,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1058,"Sorghum, whole, grain, red, dried, stewed, drained (without salt)",1,590,140,63.1,3.9,1.5,24.9,5.8,0.8,6,1.4,63,123,162,4,0.82,0.009,0,0,0,2,80,50,1300,21,21,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1059,"Rice, white, milled, polished grain, dry, boiled (without salt)",0,503,119,70.5,2.6,0.3,26.2,0.2,0.2,9,0.3,8,48,20,8,0.44,0,0,0,0,0,20,40,400,2,2,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1060,"Rice, parboiled, boiled (without salt)",0,505,119,69.6,2.4,0.2,26.3,1.3,0.2,5,0.6,10,43,35,4,0.36,0,0,0,0,0,60,10,800,3,3,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1061,"Wheat, whole, grain, dry, boiled (without salt)",1,777,184,50.8,6.5,1.4,32.5,7.9,1,23,2.8,69,109,161,2,1.43,0.026,0,0,0,3,110,50,1100,22,22,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1062,"Wheat, whole, grain, dry, stewed (without salt)",1,777,184,50.8,6.5,1.4,32.5,7.9,1,23,2.8,69,115,201,3,1.51,0.026,0,0,0,3,160,70,1400,26,26,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1063,"Pasta, spaghetti, dry, imported, boiled, drained (without salt)",1,517,122,69.1,4.4,0.5,24.5,1.1,0.4,8,0.3,9,56,30,3,0.21,0.004,0,0,0,0,20,20,300,4,4,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1064,"Pasta, spaghetti, dry, imported, boiled in recipe (without salt)",1,517,122,69.1,4.4,0.5,24.5,1.1,0.4,8,0.3,11,59,49,4,0.21,0.004,0,0,0,0,20,20,300,4,4,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1065,"Pasta, macaroni, plain, dry, imported, boiled, drained (without salt)",1,637,150,62.2,5.6,0.6,30,1.4,0.3,10,0.6,16,57,36,3,0.25,0.005,0,0,0,0,30,10,400,5,5,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1066,"Pasta, macaroni, plain, dry, imported boiled in recipe (without salt)",0,637,150,62.2,5.6,0.6,30,1.4,0.3,10,0.8,18,60,60,4,0.25,0.005,0,0,0,0,20,10,400,5,5,0,0,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2001,"Arrowroot, flour",1,1410,331,16.5,0.2,0.2,81.8,0.9,0.5,33,1,4,7,11,2,0.57,0,0,0,0,0,100,20,480,0,0,0,0,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2002,"Arrowroot, peeled, raw",0.76,461,109,70.9,3.2,0.3,22.3,0,1.3,6,1.1,25,43,685,36,1,0.001,1,3,0,17,220,90,2560,0,0,0,2000,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2003,"Banana, BITA 3, dried, flour",1,1550,366,2.3,3.9,1.8,78.5,9.9,3.6,30,1.2,60,100,1030,4,0.62,0.004,13,25,0,151,180,240,2800,14,14,0,7100,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2004,"Banana, plantain, green, raw",0.5,410,97,73.6,1.4,0.4,20.1,3.6,0.9,7,0.8,23,29,322,10,0.23,0.001,0,1,0,3,60,40,330,19,19,0,23300,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2005,"Beet root, peeled, raw",0.85,184,44,86.1,2.17,0.1,6.9,3.31,1.4,13,0.8,11,36,298,60,0.55,0,1,2,0,10,10,20,300,110,110,0,5300,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2007,"Cassava, root, white, peeled, raw",0.93,733,173,53.8,1.3,0.3,39.1,4.6,1,33,0.9,13,21,250,2,0.34,0.001,1,1,0,8,230,10,400,27,27,0,38000,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2008,"Cassava, root, yellow, peeled, raw",0.95,531,126,65.7,1.6,0.2,27,4.7,0.8,18,0.6,9,27,290,2,0.34,0.001,61,122,0,730,90,30,800,27,27,0,41000,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2009,"Potato, Irish (English), white variety, peeled, raw",0.85,447,105,72.1,2.4,0.1,22.7,1.68,1,9,1.4,19,81,645,6.46,0.32,0.001,0,0,0,0,70,40,1200,53,53,0,6600,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2010,"Radish, round, red skin, raw",0.81,64,15,94.5,0.8,0.16,1.6,2.3,0.7,36,0.4,22,22,103,32.27,0.18,0,0,0,0,1,20,30,300,25,25,0,21000,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2011,"Radish, long, red skin, raw",0.98,57,14,94.7,0.6,0.1,1.3,2.5,0.8,28,0.37,13,27,193,25,0.16,0,0,0,0,2,60,20,300,26,26,0,17000,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2012,"Radish, white skin, raw",0.99,93,22,93,1.1,0.3,2.7,2.1,0.7,40,0.4,14,20,249,26,0.34,0,1.25,3,0,15,30,20,500,28,28,0,15000,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2013,"Sweet potato, brown skin, peeled, raw",0.84,428,101,72,1.7,0.4,20.8,4,1.2,22,0.4,12,25,389,20,0.28,0,8,17,0,100,70,30,800,16,16,0,18000,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2014,"Sweetpotato, orange, biofortified, raw",0.92,325,76.9,78.7,1.9,0.1,15.6,3,0.7,27,0.5,14,33,250,10,0.5,0.001,517,1030,0,6200,30,50,1000,11,11,0,31000,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2015,"Sweet potato, pink skin",0.84,349,83,76.8,1.8,0.6,15.6,3.9,1.3,14,1,19,61,247,11,0.14,0,1,2,0,11,70,30,700,14,14,0,22000,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2016,"Taro, peeled, raw",0.9,411,97,73,1.8,0.2,20.3,3.5,1.2,51,0.7,20,88,300,10,0.6,0.001,3,5,0,30,100,30,700,22,22,0,12000,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2017,"Turnip, root, raw",0.77,94,22,93.1,0.7,0.2,3.6,1.7,0.8,34,0.5,11,39,320,29,0.2,0.001,0,0,0,0,40,40,700,15,15,0,23000,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2018,"Yam, flour",1,1320,312,14,3.4,0.4,67.4,12.8,2,20,1.1,50,110,818,28,1,0.002,0,0,0,0,0,0,1000,43,43,0,0,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2019,"Yam, white, raw",0.81,475,112,69,1.9,0.2,23.7,4.1,1.1,16,0.8,18,61,295,10,0.27,0.001,0,0,0,0,110,20,400,16,16,0,6000,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2020,"Arrowroot, peeled, boiled, drained (without salt)",1,461,109,70.9,3.2,0.3,22.3,2,1.3,6,1,23,40,548,28,0.86,0.001,1,3,0,16,170,80,1900,0,0,0,1000,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2021,"Beet root, peeled, boiled, drained (without salt)",1,186,44,86,2.2,0.1,7,3.3,1.4,12,62.9,7,32,135,33,0.42,0,1,1,0,7,10,10,200,56,56,0,2000,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2022,"Beet root, peeled, stewed (without salt)",1,174,41,86.9,2,0.1,6.5,3.1,1.3,12,0.8,11,34,281,56,0.52,0,1,1,0,6,10,10,300,73,73,0,4000,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2023,"Cassava, root, white, peeled, boiled, drained (without salt)",1,627,148,60.5,1.1,0.2,33.4,3.9,0.8,27,0.7,10,17,171,1,0.26,0.001,1,1,0,6,150,10,300,15,15,0,23000,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2024,"Cassava, root, yellow, peeled, boiled, drained (without salt)",1,454,107,70.7,1.4,0.2,23.1,4,0.7,15,0.5,7,21,198,1,0.26,0.001,49,99,0,593,60,20,500,15,15,0,25000,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2025,"Potato, Irish (English), white variety, peeled, boiled, drained (without salt)",1,447,105,72.1,2.4,0.1,22.7,1.7,1,8,1.3,17,76,516,5,0.29,0,0,0,0,0,50,30,900,34,34,0,5000,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2026,"Potato, Irish (English), white variety, peeled, steamed (without salt)",0,456,107,71.5,2.5,0.2,23.2,1.7,1,8,1.3,18,79,559,6,0.31,0,0,0,0,0,60,40,1100,33,33,0,5000,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2027,"Sweet potato, brown skin, peeled, boiled, drained (without salt)",0,428,101,72,1.7,0.4,20.8,4,1.2,21,0.4,10,23,311,16,0.25,0,8,16,0,95,50,30,600,10,10,0,13000,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2028,"Sweetpotato, orange, biofortified, boiled, drained (without salt)",0,325,77,78.7,1.9,0.1,15.6,3,0.7,26,0.5,13,31,200,8,0.45,0,491,981,0,5890,20,40,800,7,7,0,22000,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2029,"Sweet potato, pink skin, boiled, drained (without salt)",0,349,83,76.8,1.8,0.6,15.6,3.9,1.3,13,0.9,17,57,198,9,0.13,0,1,2,0,11,50,30,500,9,9,0,16000,0,,,,,,,,,
2,"STARCHY ROOTS, TUBERS AND BANANAS",2030,"Yam, white, boiled, drained (without salt)",0,500,118,67.4,2,0.2,24.9,4.3,1.2,16,0.8,17,60,248,8,0.26,0.001,0,0,0,0,90,20,300,10,10,0,4000,0,,,,,,,,,
3,LEGUMES AND PULSES,3001,"Beans, broad, dry, raw",1,1280,305,10.9,25.7,1.53,35.6,22.9,3.29,96,5.19,135,431,1190,25,3.55,0.008,2,5,0,29,560,330,2410,250,250,0,1400,0,,,,,,,,,
3,LEGUMES AND PULSES,3002,"Beans, broad, fresh, raw",1,345,82,75,7.2,0.5,8.7,7.1,1.3,26,1.6,29,427,275,2,1.1,0.008,16,32,0,195,120,140,2000,284,284,0,41000,0,,,,,,,,,
3,LEGUMES AND PULSES,3003,"Beans, cluster, fresh, raw",0.86,232,55,82.9,6.19,0.4,4.4,4.8,1.4,121,5.6,73,50,301,4,0.61,0.002,20,40,0,241,90,30,700,41,41,0,49000,0,,,,,,,,,
3,LEGUMES AND PULSES,3004,"Beans, kidney, dry, raw",1,1280,305,12.1,20.5,2,40.6,21.2,3.6,106,6.4,103,600,872,22,2.78,0.004,1,1,0,6,350,180,2400,272,272,0,300,0,,,,,,,,,
3,LEGUMES AND PULSES,3005,"Beans, lima, dry, raw",1,1260,299,13.6,22.4,1.63,39.7,18.2,4.5,64,9.9,158,387,1447,7,2.6,0.006,0,0,0,0,530,160,1500,381,381,0,1000,0,,,,,,,,,
